country;keywords animals
Maldives;Whale Sharks,Dolphins,Turtles,Stingrays,Barracuda,Triggerfish,Parrotfish,Angelfish,Clownfish,Moray Eels,Lionfish,Pufferfish,Sea Snakes,Sea Horses,Reef Sharks,Jackfish,Red Snapper,Grouper,Mackerel,Tuna,Sailfish,Wahoo,Mahi Mahi,Bonito,Flying Fish,Herring,Anchovies,Octopus,Cuttlefish,Squid,Crabs,Lobsters,Shrimp,Sea Cucumbers,Sea Urchins,Sea Stars,Sea Anemones,Jellyfish,Sea Sponges,Humpback Whales,Blue Whales,Orcas,Pilot Whales,False Killer Whales,Sperm Whales,Bryde's Whales,Manta Rays,Reef Manta Rays,Eagle Rays,Cow-nosed Rays,Spotted Eagle Rays,Marbled Rays,Sea Lions,Sea Otters,Seals,Walruses,Bats,Fruit Bats,Flying Foxes,Herons,Egrets,Cormorants,Frigatebirds,Boobies,Pelicans,Gannets,Terns,Sandpipers,Gulls,Kingfishers,Hawks,Kestrels,Ospreys,Falcons,Eagles,Owls,Kites,Parakeets,Pigeons,Doves,Hummingbirds,Woodpeckers,Hornbills,Bee-eaters,Kingfishers,Swallows,Swifts,Flamingos,Ducks,Geese,Cranes,Partridges,Pheasants,Quails,Peacocks,Pigeons,Doves,Owls,Parrots,Kingfishers
Mali;Elephants,Lions,Cheetahs,Leopards,Hippopotamuses,Warthogs,Giraffes,Wild Dogs,Jackals,Hyenas,Ostrich,Red-Billed Hornbills,Kori Bustards,Marabou Storks,Bustards,Ground Hornbills,Guinea Fowl,Spurfowl,Waterfowl,Ducks,Geese,Cranes,Pelicans,Vultures,Kites,Owls,Eagles,Hawks,Falcons,Ostriches,Bustards,Sandgrouse,Quail,Francolins,Guinea Fowl,Cuckoos,Turacos,Woodpeckers,Hornbills,Barbets,Bee-Eaters,Kingfishers,Sunbirds,Weavers,Babblers,Starlings,Sparrows,Swallows,Crows,Wagtails,Shrikes,Babblers,Warblers,Thrushes,Orioles,Blackcaps,Flycatchers,Tits,Larks,Pipits,Wagtails,Wrens,Robins,Finches,Buntings,Long-Tailed Widowbirds,Black-Winged Bishop,Red-Billed Quelea,Red-Billed Firefinch,Black-Faced Waxbills,Crimson-Backed Waxbills,Black-Headed Waxbills,Long-Tailed Fiscal,White-Winged Widowbirds,White-Browed Sparrow Weavers,Red-Faced Mousebirds,Red-Billed Buffalo Weavers,White-Crowned Shrikes,Northern Black Flycatchers,Red-Billed Hornbills,Senegal Parrots,Grey Go-Away Birds,Grey-Headed Kingfishers,Grey-Headed Bush Shrikes,Black-Crowned Waxbills,Chestnut-Crowned Sparrow Weavers,Red-Throated Bee-Eaters,Black-Backed Puffback Shrikes,Grey-Headed Bush Shrikes,Black-Crowned Tchagras,White-Faced Whistling Ducks,Spur-Winged Geese,Egyptian Geese,Spur-Winged Lapwings,African Jacanas,Wattled Lapwings,Black-Winged Stilts,African Skimmers,White-Fronted Bee-Eaters,African Spoonbills
Malta;Rabbit,Hedgehog,Fox,Weasel,Wild Cat,Wild Boar,Red Squirrel,Common Pipistrelle,Common House Bat,Barbastelle,Greater Horseshoe Bat,Lesser Horseshoe Bat,Long-eared Bat,Mediterranean Horseshoe Bat,Grey Long-eared Bat,Noctule Bat,Serotine Bat,Soprano Pipistrelle,Whiskered Bat,Greater Mouse-eared Bat,Lesser Mouse-eared Bat,Brown Long-eared Bat,Mediterranean Shag,Little Egret,Grey Heron,Purple Heron,Squacco Heron,Cattle Egret,Little Bittern,Great White Egret,Black-winged Stilt,Collared Pratincole,Kentish Plover,Grey Plover,Lapwing,Ringed Plover,Sanderling,Little Stint,Curlew Sandpiper,Common Redshank,Common Greenshank,Green Sandpiper,Wood Sandpiper,Common Sandpiper,Black-headed Gull,Sandwich Tern,Little Tern,Audouin’s Gull,Yellow-legged Gull,Caspian Tern,Black Tern,White-winged Tern,Whiskered Tern,Marsh Harrier,Montagu’s Harrier,Hobby,Peregrine Falcon,Kestrel,Rock Dove,Wood Pigeon,Collared Dove,Turtle Dove,Barn Owl,Long-eared Owl,Short-eared Owl,Little Owl,Scops Owl,Swift,Kingfisher,Hoopoe,Wryneck,Bee-eater,Roller,Grey Wagtail,White Wagtail,Grey-headed Wagtail,Pied Wagtail,Black Redstart,Common Redstart,Whinchat,Stonechat,Blackbird,Thrush Nightingale,Common Nightingale,Bluethroat,Blackcap,Garden Warbler,Wood Warbler,Barred Warbler,Melodious Warbler,Sardinian Warbler,Subalpine Warbler,Spotted Flycatcher,Great Tit,Blue Tit,Coal Tit,Long-tailed Tit,Crested Tit,Magpie,Jackdaw
Marshall Islands;Sea Turtles,Sharks,Dolphins,Whales,Manta Rays,Barracudas,Parrotfish,Groupers,Triggerfish,Clownfish,Lionfish,Snappers,Eels,Octopuses,Jellyfish,Squid,Cuttlefish,Sea Cucumbers,Crabs,Lobsters,Sea Urchins,Sea Stars,Sea Anemones,Tuna,Mackerel,Wahoo,Mahimahi,Flying Fish,Sailfish,Marlin,Bonito,Swordfish,Pufferfish,Angelfish,Damselfish,Gobies,Butterflyfish,Moorish Idols,Hawkfish,Triggerfish,Moorish Idols,Damselfish,Soldierfish,Grunts,Jacks,Mullets,Snook,Tarpon,Bonefish,Sharks,Rays,Skates,Seahorses,Pipefish,Hermit Crabs,Sea Slugs,Sea Snails,Sea Lice,Sea Cucumbers,Nudibranchs,Sea Spiders,Sea Squirts,Sea Worms,Sea Biscuits,Sea Pigs,Sea Cucumbers,Sea Bats,Sea Moths,Sea Butterflies,Sea Lilies,Sea Pens,Sea Urchins,Sea Feathers,Sea Cucumbers,Sea Apples,Sea Squirts,Sea Anemones,Sea Fans,Sea Whips,Sea Sponges,Sea Spiders,Sea Worms,Sea Cucumbers,Sea Urchins,Sea Stars,Sea Cucumbers,Sea Beads,Sea Cucumbers,Sea Cucumbers,Sea Cucumbers,Sea Cucumbers,Sea Urchins,Sea Squirts,Sea Cucumbers,Sea Sponges,Sea Pens,Sea Feathers,Sea Anemones,Sea Slugs,Sea Cucumbers
Martinique;Boa constrictor,Green iguana,Anolis lizards,Red-footed tortoise,Agouti,White-tailed deer,Wild boar,Red-rumped agouti,Capybara,Red-tailed hawk,Common black hawk,Great egret,Snowy egret,Little blue heron,White-crowned pigeon,Caribbean dove,Brown pelican,Magnificent frigatebird,Brown booby,Caribbean flamingo,Smooth-billed ani,Gray kingbird,Bananaquit,White-winged dove,Scaly-breasted thrasher,Rufous-vented chachalaca,Lesser Antillean Bullfinch,Green-throated Carib,Antillean Euphonia,Caribbean Elaenia,Caribbean Martin,Green-backed Sparrow,Yellow-faced Grassquit,Black-faced Grassquit,Lesser Antillean Saltator,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot
Mauritania;Ostrich,Camel,Barbary Sheep,Dorcas Gazelle,Addax,Warthog,Red Fox,Caracal,African Wild Dog,Common Jackal,African Elephant,Cheetah,Leopard,Lion,Striped Hyena,Slender Mongoose,Spotted Hyena,Brown Hyena,African Wild Cat,Honey Badger,Bat-eared Fox,Ratel,Striped Polecat,Genet,Foxy Civet,Common Genet,African Civet,Common Duiker,Dama Gazelle,Red-fronted Gazelle,West African Giraffe,Dorcas Gazelle,Roan Antelope,Scimitar Oryx,African Buffalo,Hippopotamus,African Wild Pig,Red-necked Ostrich,Crowned Crane,Spur-winged Goose,Sacred Ibis,Marabou Stork,Kori Bustard,Northern Pintail,Black-headed Lapwing,Spur-winged Plover,Grey Heron,Grey-headed Gull,White-backed Vulture,Black Kite,Osprey,African Fish Eagle,Lanner Falcon,Barbary Falcon,Peregrine Falcon,African Harrier-Hawk,Black-winged Kite,African Marsh Harrier,Steppe Eagle,Egyptian Vulture,Eurasian Griffon Vulture,Long-crested Eagle,Tawny Eagle,Booted Eagle,Common Kestrel,Rock Dove,Laughing Dove,Speckled Pigeon,Red-eyed Dove,Laughing Turtle-Dove,Namaqua Dove,African Mourning Dove,White-throated Bee-eater,White-fronted Bee-eater,European Bee-eater,African Hoopoe,Red-billed Hornbill,African Grey Hornbill,Abyssinian Roller,Rufous-crowned Roller,White-headed Barbet,Red-faced Barbet,Red-billed Wood-Hoopoe,White-rumped Swallow,Red-rumped Swallow,Common Bulbul,Grey-headed Batis,Pied Crow,White-browed Sparrow-Weaver,Red-billed Quelea,White-crowned Wheatear,Black-crowned Tchagra,Grey-backed Camaroptera,White-breasted White-eye,Red-billed Firefinch,African Silverbill,White-rumped Seedeater,Red-billed Quelea,Red-billed Buffalo-Weaver,Red-billed Oxpecker,Chestnut-backed Sparrow-Lark
Mauritius;Pink Pigeon,Mauritius Kestrel,Rodrigues Fruit Bat,Aldabra Giant Tortoise,Mauritius Parakeet,Mauritius Fody,Mascarene Grey White-eye,Mauritius Cuckooshrike,Mauritius Olive White-eye,Mauritius Bulbul,Mauritius Flying Fox,Mauritius Shelduck,Mauritius Night Heron,Mauritius White-eye,Mauritius Black Parrot,Mauritius Cuckoo-shrike,Mauritius Blue Pigeon,Mauritius Sunbird,Mauritius Grey White-eye,Mauritius Swiftlet,Mauritius Fody,Mauritius Cuckoo,Mauritius Warbler,Mauritius Scops Owl,Mauritius Paradise Flycatcher,Mauritius Petrel,Mauritius Buzzard,Mauritius Long-tailed Fody,Mauritius Grey White-eye,Mauritius Scops Owl,Mauritius Night Heron,Mauritius White-eye,Mauritius Pied Crow,Mauritius Starling,Mauritius Green Pigeon,Mauritius Sunbird,Mauritius Bulbul,Mauritius Kestrel,Mauritius Olive White-eye,Mauritius Flying Fox,Mauritius Shelduck,Mauritius Paradise Flycatcher,Mauritius Petrel,Mauritius Buzzard,Mauritius Long-tailed Fody,Mauritius Grey White-eye,Mauritius Scops Owl,Mauritius Night Heron,Mauritius White-eye,Mauritius Pied Crow,Mauritius Starling,Mauritius Green Pigeon,Mauritius Sunbird,Mauritius Bulbul,Mauritius Kestrel,Mauritius Olive White-eye,Mauritius Flying Fox,Mauritius Shelduck,Mauritius Paradise Flycatcher,Mauritius Petrel,Mauritius Buzzard,Mauritius Long-tailed Fody,Mauritius Grey White-eye,Mauritius Scops Owl,Mauritius Night Heron,Mauritius White-eye,Mauritius Pied Crow,Mauritius Starling,Mauritius Green Pigeon,Mauritius Sunbird,Mauritius Bulbul,Mauritius Kestrel,Mauritius Olive White-eye,Mauritius Flying Fox,Mauritius Shelduck,Mauritius Paradise Flycatcher,Mauritius Petrel,Mauritius Buzzard,Mauritius Long-tailed Fody,Mauritius Grey White-eye,Mauritius Scops Owl,Mauritius Night Heron,Mauritius White-eye,Mauritius Pied Crow,Mauritius Starling,Mauritius Green Pigeon,Mauritius Sunbird,Mauritius Bulbul,Mauritius Kestrel,Mauritius Olive White-eye,Mauritius Flying Fox,Mauritius Shelduck,Mauritius Paradise Flycatcher,Mauritius Petrel,Mauritius Buzzard,Mauritius Long-tailed Fody,Mauritius Grey White-eye,Mauritius Scops Owl,Mauritius Night Heron,Mauritius White-eye
Mayotte;Monkeys,Elephants,Lions,Giraffes,Zebras,Hippos,Rhinoceroses,Leopards,Cheetahs,Wild Dogs,Warthogs,Jackals,Mongooses,Ostrich,Flamingos,Kudus,Antelopes,Bushbucks,Dik-diks,Oribis,Duikers,Genets,Mongoose Lemurs,Aye-ayes,Fruit Bats,Mongoose Shrews,Moles,Hedgehogs,Hyraxes,African Wild Cats,Servals,Civets,Mongoose Rats,Wild Pigs,Suni,Galagos,Bushbabies,Otters,Mongoose Viverrids,Mongoose Mongoose,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses,Mongoose Mongooses
Mexico;Mexican Wolf,Mexican Spotted Owl,Jaguar,Puma,Ocelot,Margay,Bobcat,Collared Peccary,Coyote,Gray Fox,Red Fox,White-tailed Deer,Mule Deer,Bighorn Sheep,Black Bear,Grizzly Bear,American Bison,Cougar,American Badger,Long-nosed Armadillo,Nine-banded Armadillo,River Otter,Striped Skunk,Virginia Opossum,Raccoon,American Beaver,Mexican Wood Rat,Black-tailed Jackrabbit,Desert Cottontail,White-eared Pocket Mouse,Mexican Deer Mouse,Kangaroo Rat,Mexican Wood Mouse,Mexican Jumping Bean,Mexican Pocket Gopher,Mexican Porcupine,Coati,Ring-tailed Cat,Gray Squirrel,Mexican Ground Squirrel,Red Squirrel,Mexican Red-bellied Squirrel,Northern Raccoon,Collared Anteater,Northern Tamandua,Mexican Long-nosed Bat,Mexican Free-tailed Bat,Lesser Long-nosed Bat,Cave Myotis,Big Brown Bat,Hoary Bat,Mexican Red Bat,Mexican Little Brown Bat,Pallid Bat,Western Pipistrelle,Spotted Bat,Mexican Fruit Bat,Mexican Yellow Bat,Black-capped Vireo,Tufted Jay,Montezuma Quail,Wild Turkey,Gray Hawk,Zone-tailed Hawk,Harris's Hawk,Crested Caracara,Gray-breasted Jay,Green Parakeet,Red-headed Parrot,Mexican Parrotlet,Mexican Parakeet,Blue-crowned Parakeet,Red-billed Pigeon,Band-tailed Pigeon,White-tipped Dove,Inca Dove,Mourning Dove,Greater Roadrunner,Golden Eagle,Bald Eagle,Osprey,Peregrine Falcon,Crested Caracara,Western Screech-Owl,Burrowing Owl,Elf Owl,Long-eared Owl,Whiskered Screech-Owl,Western Screech-Owl,Great Horned Owl,Western Kingbird,Loggerhead Shrike,Northern Beardless-Tyrannulet,Northern Mockingbird,Curve-billed Thrasher,Cactus Wren,Rock Wren,Canyon Wren,Northern Flicker,Red-naped Sapsucker
Micronesia;Flying fox,Coconut crab,Pacific Reef Heron,Micronesian Kingfisher,Pacific Pigeon,Micronesian Megapode,Pacific Boobook,Grey Imperial Pigeon,White-throated Ground Dove,Micronesian Starling,Micronesian Honeyeater,Collared Kingfisher,Micronesian Scrubfowl,Micronesian Swiftlet,Micronesian Imperial Pigeon,White-rumped Swiftlet,Island Thrush,Micronesian Crow,Micronesian Kingfisher,White-throated White-eye,Pacific Reef Egret,Pacific Swallow,Micronesian Swift,Pacific Golden Plover,Micronesian Megapode,White-tailed Tropicbird,Micronesian Imperial Pigeon,Micronesian Megapode,Pacific Reef Heron,Pacific Golden Plover,Grey Imperial Pigeon,Micronesian Megapode,Micronesian Kingfisher,Micronesian Scrubfowl,Micronesian Megapode,Micronesian Imperial Pigeon,Micronesian Kingfisher,Micronesian Megapode,Pacific Reef Egret,Pacific Pigeon,Pacific Boobook,Micronesian Megapode,White-throated White-eye,Pacific Reef Egret,Pacific Swallow,Micronesian Imperial Pigeon,White-rumped Swiftlet,Pacific Golden Plover,Micronesian Megapode,Micronesian Kingfisher,Micronesian Megapode,White-tailed Tropicbird,Micronesian Imperial Pigeon,White-throated Ground Dove,Coconut crab,Micronesian Megapode,Pacific Reef Heron,Pacific Boobook,Pacific Golden Plover,White-throated White-eye,Pacific Pigeon,Micronesian Megapode,Micronesian Kingfisher,Micronesian Imperial Pigeon,Micronesian Megapode,Micronesian Swiftlet,White-rumped Swiftlet,Pacific Swallow,Micronesian Kingfisher,Micronesian Megapode,Micronesian Scrubfowl,Collared Kingfisher,Micronesian Honeyeater,White-tailed Tropicbird,Island Thrush,Micronesian Imperial Pigeon,Micronesian Megapode,Pacific Reef Egret,Micronesian Swift,Pacific Boobook,Pacific Golden Plover,Micronesian Megapode,White-throated White-eye,Grey Imperial Pigeon,Micronesian Kingfisher,Micronesian Megapode,Micronesian Imperial Pigeon,Micronesian Swiftlet,White-rumped Swiftlet,Micronesian Megapode,Micronesian Kingfisher,Micronesian Megapode,Pacific Reef Egret,Pacific Pigeon,Pacific Boobook,White-throated Ground Dove,Micronesian Megapode,White-tailed Tropicbird,Flying fox,Micronesian Imperial Pigeon
Moldova;Wild Boar,Red Fox,Wolf,Roe Deer,Red Deer,Brown Bear,Wild Cat,European Hare,European Badger,Eurasian Lynx,European Polecat,European Otter,European Beaver,European Hedgehog,European Wild Rabbit,European Mink,European Water Vole,European Bat,European Hedgehog,European Mole,European Weasel,European Squirrel,European Mole Rat,European Water Shrew,European Mole Cricket,European Harvest Mouse,European Mole,European Shrew,European Polecat,European Pine Marten,European Stoat,European Red Squirrel,European Red Fox,European Wild Boar,European Roe Deer,European Red Deer,European Brown Bear,European Wildcat,European Golden Jackal,European Wolf,Eurasian Lynx,European Wildcat,European Red Fox,European Wolf,European Brown Bear,European Wild Boar,European Roe Deer,European Red Deer,European Wildcat,European Golden Jackal,European Badger,European Hare,European Otter,European Beaver,European Hedgehog,European Wild Rabbit,European Mink,European Water Vole,European Bat,European Mole,European Weasel,European Squirrel,European Mole Rat,European Water Shrew,European Mole Cricket,European Harvest Mouse,European Shrew,European Pine Marten,European Stoat,European Red Squirrel,European Wild Boar,European Roe Deer,European Red Deer,European Brown Bear,European Wildcat,European Golden Jackal,European Wolf,Eurasian Lynx,European Red Fox,European Wild Boar,European Roe Deer,European Red Deer,European Brown Bear,European Wildcat,European Golden Jackal,European Badger,European Hare,European Otter,European Beaver,European Hedgehog,European Wild Rabbit,European Mink,European Water Vole,European Bat,European Mole,European Weasel,European Squirrel,European Mole Rat,European Water Shrew,European Mole Cricket
Monaco;Dogs,Cats,Horses,Sheep,Goats,Cows,Pigs,Donkeys,Rabbits,Foxes,Pheasants,Ducks,Geese,Chickens,Turkeys,Pigeons,Quail,Peacocks,Parrots,Falcons,Eagles,Owls,Hawks,Kestrels,Seagulls,Swans,Cormorants,Herons,Kingfishers,Flamingos,Woodpeckers,Starlings,Robins,Wagtails,Blackbirds,Magpies,Jays,Crows,Snakes,Lizards,Frogs,Turtles,Tortoises,Salamanders,Newts,Fish,Crabs,Shrimps,Lobsters,Octopuses,Sea Anemones,Sea Stars,Jellyfish,Mollusks,Bats,Bumblebees,Honeybees,Wasps,Hornets,Butterflies,Moths,Grasshoppers,Crickets,Beetles,Ants,Flies,Spiders,Scorpions,Woodlice,Snails,Slugs,Worms,Centipedes,Millipedes,Hedgehogs,Shrews,Mice,Rats,Squirrels,Beaver,Badgers,Weasels,Otters,Stoats,Polecats,Ferrets,Deer,Wild Boar,Wild Goats,Wild Sheep,Wild Horses,Wild Donkeys,Wild Foxes,Wild Rabbits,Wild Cats,Wild Dogs,Wolves,Bears,Lynx,Wild Pigs
Mongolia;Argali,Bactrian Camel,Wild Boar,Snow Leopard,Wolf,Red Fox,Eurasian Lynx,Pallas's Cat,Marbled Polecat,Mongolian Gazelle,Siberian Ibex,Mongolian Wild Ass,Steppe Polecat,Steppe Wolf,Red Deer,Musk Deer,Wild Yak,Long-tailed Ground Squirrel,Pika,Red Squirrel,Siberian Chipmunk,Mongolian Gerbil,Altai Pika,Siberian Flying Squirrel,Eurasian Beaver,Eurasian Badger,Eurasian Otter,Eurasian Lynx,Red Fox,Brown Bear,Grey Wolf,Cinereous Vulture,Bearded Vulture,Himalayan Vulture,Golden Eagle,White-tailed Eagle,Steppe Eagle,Imperial Eagle,Saker Falcon,Eurasian Hobby,Red-footed Falcon,Peregrine Falcon,Eurasian Hobby,Eurasian Kestrel,Long-eared Owl,Eurasian Eagle Owl,Ural Owl,Himalayan Snowcock,Hazel Grouse,Black Grouse,Common Pheasant,Goitered Gazelle,Mongolian Wild Horse,Mongolian Wild Sheep,Mongolian Wild Goat,Mongolian Saiga,Mongolian Marmot,Siberian Roe Deer,Siberian Marmot,Siberian Musk Deer,Wild Bactrian Camel,Wild Yak,Mongolian Jerboa,Mongolian Pika,Mongolian Ground Squirrel,Mongolian Gerbil,Mongolian Hamster,Mongolian Lark,Hume's Warbler,Black-throated Accentor,White-capped Water Redstart,Brown Accentor,Rufous-tailed Rock Thrush,Black-billed Capercaillie,White-winged Woodpecker,Great Grey Shrike,Long-legged Buzzard,Common Buzzard,Common Kestrel,Common Crane,Great Bustard,Great Black-headed Gull,Common Pochard,Whooper Swan,Mallard,Common Shelduck,Common Merganser,Red-breasted Goose,Bar-headed Goose,Ruddy Shelduck,Common Teal,Common Goldeneye,Common Coot,Common Moorhen,Common Pintail,Common Snipe,Common Sandpiper,Common Greenshank,Eurasian Curlew,Black-tailed Godwit
Montserrat;Wild Boar,Wild Rabbit,Fox,Badger,Weasel,Red Deer,Mouflon,Goats,Wild Cat,Marten,Hedgehog,Wood Mouse,Red Squirrel,Beech Marten,Common Genet,Wild Pigeon,Kestrel,Buzzard,Long-eared Owl,Tawny Owl,Alpine Swift,Rock Dove,Cuckoo,Kingfisher,Hoopoe,Crested Lark,Wren,Firecrest,Blackbird,Chaffinch,Goldfinch,Serin,Red-billed Chough,Raven,Magpie,Jay,Starling,House Sparrow,Tree Sparrow,Blackcap,Sardinian Warbler,Common Chiffchaff,Goldcrest,Long-tailed Tit,Blue Tit,Great Tit,Coal Tit,Nuthatch,Great Spotted Woodpecker,Green Woodpecker,Hoopoe,Woodlark,Rock Thrush,Black Redstart,Whinchat,Stonechat,Robin,Nightingale,Black Wheatear,Red-rumped Swallow,Alpine Swift,White Wagtail,Blue Rock Thrush,Woodchat Shrike,Red-backed Shrike,Eurasian Jay,Red-billed Chough,Northern Raven,Common Cuckoo,Eurasian Kingfisher,Common Kestrel,Long-eared Owl,Red-necked Nightjar,Common Swift,Common Woodpigeon,European Turtle Dove,Common Woodpigeon,Common Buzzard,Common Raven,Eurasian Hoopoe,Eurasian Wryneck,Eurasian Skylark,Crested Lark,Barn Swallow,White Wagtail,Red-backed Shrike,Eurasian Blackbird,Common Starling,Common Chaffinch,European Goldfinch,European Serin,Eurasian Tree Sparrow,Eurasian Blackcap,Sardinian Warbler,Common Chiffchaff,Common Firecrest,Goldcrest,Long-tailed Tit,Blue Tit,Great Tit
Morocco;Barbary sheep,Barbary macaque,Red fox,African wildcat,Common genet,Striped hyena,Golden jackal,Ruppell's fox,Caracal,Serval,Wild boar,African elephant,Atlas bear,Dorcas gazelle,Scimitar-horned oryx,Dama gazelle,Addax,Red deer,Roe deer,Wild goat,Wild sheep,Barbary stag,Mongoose,Spotted hyena,Golden jackal,Striped hyena,Egyptian mongoose,Wildcat,Fox,Jackal,Wolf,Brown bear,Raccoon,Badger,Wild dog,Wild ass,Wild moufflon,Red squirrel,Porcupine,Hedgehog,Hare,Indian crested porcupine,Algerian hedgehog,European rabbit,Civet,African wildcat,Wildcat,Genet,Puma,African wild dog,Cape fox,Caracal,Aardwolf,Slender mongoose,Yellow mongoose,Fennec fox,Sand cat,Pallas's cat,Striped polecat,Honey badger,Ratel,Leopard,Caracal,Cheetah,African leopard,Barbary lion,Marbled polecat,Honey badger,Jackal,Wildcat,Wolf,Red fox,Raccoon,Badger,Wild boar,Wild ass,African elephant,Dorcas gazelle,Scimitar-horned oryx,Dama gazelle,Addax,Red deer,Roe deer,Wild goat,Wild sheep,Barbary stag,Mongoose,Spotted hyena,Golden jackal,Striped hyena,Egyptian mongoose,Wildcat,Fox,Jackal,Wolf,Brown bear,Raccoon,Badger,Wild dog,Barbary sheep
Mozambique;African Elephant,African Wild Dog,Hippopotamus,Giraffe,Greater Kudu,Wildebeest,Warthog,Cape Buffalo,Sable Antelope,Roan Antelope,Waterbuck,Chacma Baboon,Vervet Monkey,Bushpig,Spotted Hyena,African Lion,Leopard,Cheetah,Serval,African Civet,African Wild Cat,Caracal,Genet,African Striped Weasel,Honey Badger,African Wild Rabbit,African Porcupine,African Pangolin,Rock Hyrax,Aardvark,Springhare,Mongoose,Banded Mongoose,Dwarf Mongoose,Slender Mongoose,Marsh Mongoose,White-tailed Mongoose,Black-backed Jackal,Side-striped Jackal,Bat-eared Fox,African Wild Dog,African Clawless Otter,Brown Hyaena,Striped Hyaena,Spotted Hyaena,African Wild Dog,Black-backed Jackal,Side-striped Jackal,Bat-eared Fox,Cape Fox,Black-footed Cat,Caracal,Serval,African Wild Cat,Small-spotted Genet,African Civet,African Palm Civet,Honey Badger,African Striped Weasel,African Wild Rabbit,African Porcupine,Rock Hyrax,Aardvark,Springhare,Banded Mongoose,Dwarf Mongoose,Slender Mongoose,Marsh Mongoose,White-tailed Mongoose,African Elephant,Hippopotamus,Giraffe,Greater Kudu,Common Eland,Sable Antelope,Roan Antelope,Waterbuck,Chacma Baboon,Vervet Monkey,Bushpig,Warthog,Cape Buffalo,Greater Flamingo,White Stork,Ostrich,Kori Bustard,Secretary Bird,Grey Crowned Crane,Marabou Stork,Hammerkop,African Fish Eagle,African Jacana,African Openbill,Black-headed Heron,Grey Heron,Sacred Ibis,African Spoonbill,Yellow-billed Stork,Marabou Stork,African Jacana
